Text,Mail,time

hi! Friend,girl@123.com,2023-06-12 00:00:00
Feroz Shah,girl@123.com,2023-08-02 00:00:00
Hi jimmy,girl@123.com,2023-06-12 00:00:00
jimmy Carter,girl@123.com,2023-08-02 00:00:00
Sainath,sainath0246@gmail.com,2023-06-11 00:00:00
gmail,sainath0246@gmail.com,2023-06-12 00:00:00
Posts,sainath0246@gmail.com,2023-06-11 00:00:00
HI James,sainath0246@gmail.com,1992-06-11 00:00:00
NewTask,sainath0246@gmail.com,1992-06-11 00:00:00
Today's Tasks,sainath0246@gmail.com,2023-08-04 00:00:00
Happy birthday,sainath0246@gmail.com,2023-08-02 00:00:00
You are beautiful,sainath0246@gmail.com,2023-08-05 00:00:00
I want to goto hospital,sainath0246@gmail.com,2023-08-06 00:00:00
HI! beauty,sainath0246@gmail.com,2023-08-06 00:00:00
HI! Buddy today you are building scheme of your buisiness...!,sainath0246@gmail.com,2023-06-08 00:00:00
Hi! Buddy this day you are playing chess for 17 hours nonstop,sainath0246@gmail.com,2023-08-17 00:00:00
form an alliance,sainath0246@gmail.com,2023-09-28 00:00:00
